t_recv,kind,type,name,detail
8.9167,Event,MODIFIED,eval-wallcheck-r0-08-h29xr.18d3c566f52f8e65,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
8.9637,Pod,MODIFIED,eval-wallcheck-r0-03-hrqs8,phase=Running node=kind-worker3
8.9761,Job,MODIFIED,eval-wallcheck-r0-00,
8.9801,Job,MODIFIED,eval-wallcheck-r0-00,
8.9848,Event,ADDED,eval-wallcheck-r0-00.18d3c5671133a81d,reason=Completed count=1 msg=Job completed
8.9951,Job,MODIFIED,eval-wallcheck-r0-02,
8.9971,Job,MODIFIED,eval-wallcheck-r0-00,
9.0026,TaskRequest,MODIFIED,eval-wallcheck-r0-00,phase=Complete job=None
9.0076,Job,MODIFIED,eval-wallcheck-r0-02,
9.0145,Job,MODIFIED,eval-wallcheck-r0-00,
9.1084,TaskRequest,ADDED,eval-wallcheck-r0-09,phase=None job=None
9.1138,TaskRequest,MODIFIED,eval-wallcheck-r0-09,phase=Pending job=None
9.1314,Job,ADDED,eval-wallcheck-r0-09,
9.1389,Pod,MODIFIED,eval-wallcheck-r0-02-vg94s,phase=Succeeded node=kind-worker
9.139,TaskRequest,MODIFIED,eval-wallcheck-r0-09,phase=Scheduled job=None
9.14,Pod,ADDED,eval-wallcheck-r0-09-ftzjf,phase=Pending node=None
9.1423,Job,MODIFIED,eval-wallcheck-r0-09,
9.1446,Event,ADDED,eval-wallcheck-r0-09.18d3c5671ab6ff50,reason=SuccessfulCreate count=1 msg=Created pod: eval-wallcheck-r0-09-ftzjf
9.1472,Job,MODIFIED,eval-wallcheck-r0-08,
9.1481,TaskRequest,MODIFIED,eval-wallcheck-r0-09,phase=Scheduled job=None
9.1569,Job,MODIFIED,eval-wallcheck-r0-08,
9.321,Pod,MODIFIED,eval-wallcheck-r0-09-ftzjf,phase=Pending node=None
9.3213,Event,ADDED,eval-wallcheck-r0-09-ftzjf.18d3c5672517509b,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
9.3235,Job,MODIFIED,eval-wallcheck-r0-01,
9.3316,Pod,MODIFIED,eval-wallcheck-r0-01-nd9n9,phase=Succeeded node=kind-worker2
9.3334,Job,MODIFIED,eval-wallcheck-r0-01,
9.8208,Event,ADDED,eval-wallcheck-r0-09-ftzjf.18d3c56742d1c673,"reason=FailedScheduling count=None msg=0/6 nodes are available: 1 node(s) had untolerated taint(s), 5 c_wall violated: 1 conflicting context pair(s) with node memory. no new claims to deallocate, preemption: 0/6 nodes are available: 1 Preemption is not helpful for scheduling, 5 No preemption victims found for incoming pod."
9.9677,Pod,MODIFIED,eval-wallcheck-r0-04-qkjkp,phase=Running node=kind-worker5
9.975,Job,MODIFIED,eval-wallcheck-r0-03,
9.9858,Job,MODIFIED,eval-wallcheck-r0-03,
10.0015,Job,MODIFIED,eval-wallcheck-r0-02,
10.0107,Pod,MODIFIED,eval-wallcheck-r0-02-vg94s,phase=Succeeded node=kind-worker
10.0132,Job,MODIFIED,eval-wallcheck-r0-02,
10.0519,Pod,MODIFIED,eval-wallcheck-r0-03-hrqs8,phase=Succeeded node=kind-worker3
